slot,policy,jain,alpha_0,alpha_1,alpha_2,fuzzy_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
33,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5113149897715565,1.0,0.0,61899024.03148015,33420927.54263495,1.0,50,0,0.0
34,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5284260156909706,1.0,0.0,62396678.13440769,33371431.408938058,1.0,50,0,0.0
35,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5445739694063056,1.0,0.0,63336416.91955372,38403026.076681204,1.0,50,0,0.0
36,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5201573480691662,1.0,0.0,62950794.806899935,31659781.964230992,1.0,50,0,0.0
37,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5043302116267231,1.0,0.0,61489515.93345794,32247002.63166329,1.0,50,0,0.0
38,fuzzy_ablated,0.0,0.0,0.0,0.0,0.46731813874598216,1.0,0.0,69135616.20175864,34511366.71612971,1.0,50,0,0.0
39,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5239099567685872,1.0,0.0,57425721.038950995,34508699.1144978,1.0,50,0,0.0
40,fuzzy_ablated,0.0,0.0,0.0,0.0,0.522237473543418,1.0,0.0,64185775.10058503,34223367.29394189,1.0,50,0,0.0
41,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5137775749500484,1.0,0.0,65817872.37144623,34285799.891487375,1.0,50,0,0.0
42,fuzzy_ablated,0.0,0.0,0.0,0.0,0.49483084584096754,1.0,0.0,64899332.42596684,34606757.19116334,1.0,50,0,0.0
43,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5041670272756879,1.0,0.0,66723279.70974445,38106784.11628163,1.0,50,0,0.0
44,fuzzy_ablated,0.0,0.0,0.0,0.0,0.522092442321005,1.0,0.0,66007900.80496469,37297107.92760294,1.0,50,0,0.0
45,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5388728432425938,1.0,0.0,68268539.34630628,33451762.56351052,1.0,50,0,0.0
46,fuzzy_ablated,0.0,0.0,0.0,0.0,0.49898252777444924,1.0,0.0,65288155.168845154,34490764.096861966,1.0,50,0,0.0
47,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5389486719360619,1.0,0.0,66379351.63808459,31489449.534668133,1.0,50,0,0.0
48,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5091407565212207,1.0,0.0,67568348.91615723,36589092.73656819,1.0,50,0,0.0
49,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5439833452025336,1.0,0.0,61810683.431901954,33267419.042805687,1.0,50,0,0.0
50,fuzzy_ablated,0.0,0.0,0.0,0.0,0.4782596540939864,1.0,0.0,65155508.61584403,35971503.32003281,1.0,50,0,0.0
