slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
41,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20629979.475742564,2324162.7985717407,0.6666666666666667,5000,50,750.0
42,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20190994.549502164,676824.3259055157,0.6666666666666667,5000,50,750.0
43,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19907736.455986165,8030124.614494394,0.6666666666666667,5000,50,750.0
44,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18285313.434937313,3821782.7200340796,0.6666666666666667,5000,50,750.0
45,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18437702.92024401,2170797.567225078,0.6666666666666667,5000,50,750.0
46,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19480826.008996025,1653693.5938063446,0.6666666666666667,5000,50,750.0
47,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20863285.561817016,1194645.90765912,0.6666666666666667,5000,50,750.0
48,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22067023.937720843,3099775.0791314426,0.6666666666666667,5000,50,750.0
49,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21477431.402703308,3390562.8427278893,0.6666666666666667,5000,50,750.0
50,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21163287.828217786,2519028.8559102714,0.6666666666666667,5000,50,750.0
51,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18613661.139712244,4496887.7779713515,0.6666666666666667,5000,50,750.0
52,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20444824.188935984,2291559.729407972,0.6666666666666667,5000,50,750.0
53,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19877086.853025958,2660741.0942636738,0.6666666666666667,5000,50,750.0
54,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,23042974.375745248,2748185.057341873,0.6666666666666667,5000,50,750.0
55,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22126990.0621246,2936546.899756036,0.6666666666666667,5000,50,750.0
56,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18824336.16853813,1708228.2393154085,0.6666666666666667,5000,50,750.0
57,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21501368.038463887,4548457.89792158,0.6666666666666667,5000,50,750.0
58,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18498840.600360133,2646001.7709575063,0.6666666666666667,5000,50,750.0
59,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20658405.9061725,4268124.292281131,0.6666666666666667,5000,50,750.0
60,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20188998.389773145,1491681.34202603,0.6666666666666667,5000,50,750.0
61,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20215986.702506807,3503839.6576335197,0.6666666666666667,5000,50,750.0
62,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20501055.323350877,2361590.2724364884,0.6666666666666667,5000,50,750.0
63,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18226859.10818423,2594931.5727085727,0.6666666666666667,5000,50,750.0
64,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,23443666.751420025,7201068.618458416,0.6666666666666667,5000,50,750.0
65,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21388928.52589296,4096632.365565782,0.6666666666666667,5000,50,750.0
66,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20780907.355242938,3959002.2022153176,0.6666666666666667,5000,50,750.0
67,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22904804.736038923,6056317.573085972,0.6666666666666667,5000,50,750.0
68,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21310481.549476314,1934124.7239529353,0.6666666666666667,5000,50,750.0
