slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
32,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20031088.54868927,1926957.3492459878,0.3442666666666667,5000,5000,75000.0
33,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20127507.843741693,2130657.7944472013,0.3442666666666667,5000,5000,75000.0
34,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19955858.162126143,1911949.1751772177,0.3442666666666667,5000,5000,75000.0
35,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19940944.318334233,1928323.223580302,0.3442666666666667,5000,5000,75000.0
36,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20167092.066853676,1961820.3547029,0.3442666666666667,5000,5000,75000.0
37,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20182230.98942123,1929741.2812027608,0.3442666666666667,5000,5000,75000.0
38,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20009353.139914524,2201741.2799560353,0.3442666666666667,5000,5000,75000.0
39,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19998699.534523256,2138797.093055276,0.3442666666666667,5000,5000,75000.0
40,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19778088.46345601,1928242.1654497222,0.3442666666666667,5000,5000,75000.0
41,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19828893.30908613,2017418.0637620958,0.3442666666666667,5000,5000,75000.0
42,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20002553.428686712,2043575.090806535,0.3442666666666667,5000,5000,75000.0
43,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20293451.134283647,2009967.903504809,0.3442666666666667,5000,5000,75000.0
44,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19977758.042278476,2146430.1556524346,0.3442666666666667,5000,5000,75000.0
45,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20273445.322533082,2201077.1581577454,0.3442666666666667,5000,5000,75000.0
46,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20016100.613722723,1873582.066525423,0.3442666666666667,5000,5000,75000.0
47,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19861860.73818185,1797507.9760549362,0.3442666666666667,5000,5000,75000.0
48,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19989555.685800962,2079552.0100681565,0.3442666666666667,5000,5000,75000.0
49,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20086218.34665935,2019901.5458706738,0.3442666666666667,5000,5000,75000.0
50,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19833956.353234876,2036875.4443902145,0.3442666666666667,5000,5000,75000.0
51,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20141234.037015367,2251527.0716537233,0.3442666666666667,5000,5000,75000.0
52,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20112920.099463634,2068091.7856193054,0.3442666666666667,5000,5000,75000.0
53,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20189343.38931789,1923063.1723234795,0.3442666666666667,5000,5000,75000.0
